Timestamp,How would you rate your overall satisfaction with the Summer Academy this week?,How well are the tutorials paced?,What track are you in?,,How well is the schedule paced?,#,How likely is it that you would recommend the Make School Summer Academy to a friend?,location,track,Start Date (UTC),Submit Date (UTC),Network ID,﻿ID,Location,Track,Week,Rating (Num),Schedule Pacing
"6/24/2016 13:38:21","5","3","Apps",,"3",,,,,,,,"443","Santa Clara","Apps","Week 3","7","A little too slow",
"6/24/2016 13:38:29","5","3","Apps",,"3",,,,,,,,"446","San Francisco","Apps","Week 3","7","Just right",
"6/24/2016 14:01:31","5","3","Apps",,"3",,,,,,,,"459","Santa Clara","Apps","Week 3","7","A little too fast",
"6/24/2016 15:38:31","5","3","Apps",,"3",,,,,,,,"465","","","Week 3","7","Just right",
"6/23/2016 13:19:41","5","4","Apps",,"3",,,,,,,,"486","Washington DC","Apps","Week 2","7","Way too fast",
"6/23/2016 13:19:58","5","4","Apps",,"3",,,,,,,,"497","New York City","Apps, Explorer","Week 1","7","Just right",
"6/24/2016 9:50:59","5","4","Apps",,"3",,,,,,,,"8","Atlanta","Apps, Explorer","Week 1","8","Just right",
"6/24/2016 9:51:08","5","4","Games",,"3",,,,,,,,"9","Atlanta","Apps","Week 1","8","Just right",
"6/24/2016 11:05:49","5","4","Games",,"3",,,,,,,,"10","Atlanta","Apps, Explorer","Week 1","8","Just right",
"6/24/2016 13:34:12","5","4","Games",,"5",,,,,,,,"14","Atlanta","Apps","Week 1","8","A little too slow",
"6/24/2016 15:38:21","5","4","Games",,"3",,,,,,,,"16","Redwood City","Apps","Week 1","8","A little too slow",
"6/24/2016 16:23:30","5","4","Games",,"4",,,,,,,,"18","San Francisco","Apps, Explorer","Week 1","8","Way too fast",
"6/25/2016 19:10:35","5","3","Games",,"3",,,,,,,,"21","Redwood City","Apps","Week 1","8","A little too slow",
"6/25/2016 21:41:09","5","3","Games",,"3",,,,,,,,"25","Redwood City","Apps","Week 1","8","Just right",
"6/24/2016 13:34:08","4","3","Games",,"3",,,,,,,,"29","Los Angeles","Apps","Week 1","8","A little too fast",
"6/24/2016 13:36:37","4","3","Games",,"4",,,,,,,,"31","Los Angeles","Games","Week 1","8","A little too fast",
"6/24/2016 13:39:47","4","4","Games",,"5",,,,,,,,"39","Chicago","Apps","Week 1","8","A little too fast",
"6/24/2016 13:32:17","5","3","Intro",,"3",,,,,,,,"40","Chicago","Apps","Week 1","8","Just right",
"6/24/2016 13:34:38","5","3","Intro",,"4",,,,,,,,"46","Chicago","Apps, Explorer","Week 1","8","Just right",
"6/24/2016 13:35:43","5","3","Intro",,"3",,,,,,,,"53","San Francisco","VR","Week 1","8","Just right",
"6/24/2016 13:36:49","5","3","Intro",,"3",,,,,,,,"55","San Francisco","VR","Week 1","8","Just right",
"6/24/2016 14:11:08","5","3","Intro",,"3",,,,,,,,"58","San Francisco","Apps","Week 1","8","Just right",
"6/24/2016 13:35:31","5","4","Intro",,"4",,,,,,,,"61","San Francisco","Apps","Week 1","8","A little too fast",
"6/24/2016 13:45:54","5","4","Intro",,"3",,,,,,,,"63","San Francisco","Apps","Week 1","8","Just right",
"6/27/2016 15:01:42","3","3","Intro",,"3",,,,,,,,"74","San Francisco","Apps, Explorer","Week 1","8","A little too slow",
"6/24/2016 11:41:34","4","3","Intro",,"5",,,,,,,,"80","Santa Clara","Apps","Week 1","8","Just right",
